Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
,"","War Is Coming (If You Want It)","War Is Coming (If You Want It) - Single","Car Seat Headrest",,206000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","24/7","Hard - EP","The Neighbourhood",,221000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Abandoned Mansion","Abandoned Mansion","Dr. Dog",,322000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Die Young","What Now","Sylvan Esso",,210000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Fear","So Far Gone","Drake",,280000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","If Before I Wake","Popular Manipulations","The Districts",,176000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Dream","Dream - Single","Bishop Briggs",,194000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Passion","Here Come the Runts","AWOLNATION",,201000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Cosmopolitan","Cosmopolitan EP","Møme",,256000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
6NWl2m8asvH83xjuXVNsuG,"3EXdLajEO02ziZ90P90bSW","Betrayed","Betrayed","Lil Xan",2017-10-19,187453,60,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T04:17:08Z,"emo rap,underground hip hop",0.823,0.419,10,-10.358,0,0.165,0.416,0,0.105,0.277,119.958,4
,"","Malibu 1992","How Will You Know If You Never Try","COIN",,341000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","I Dare You","I See You","The xx",,233000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","River","Coming Home (Deluxe)","Leon Bridges",,238000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Joga O Bum Bum Tam Tam","Joga O Bum Bum Tam Tam - Single","Mc Fioti",,155000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Now or Never","hopeless fountain kingdom (Deluxe)","Halsey",,214000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","City Burns","Cheers to the Fall","Andra Day",,293000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","bellyache","dont smile at me","Billie Eilish",,179000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Oh Sheit It's X","Apocalypse","Thundercat",,227000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Poison Cup","Post-War","M. Ward",,160000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Seasons (Waiting On You)","Singles","Future Islands",,226000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
,"","Borrowed Lives (feat. Nvdes)","Borrowed Lives - EP","Pierce Fulton",,313000,0,spotify:user:o9iu48e7ws8kgfo3vhka0wi39,2017-11-30T00:03:35Z,""
